date,temperature,humidity,precipitation
2024-01-03,-2.1,80.0,5.4
2024-01-10,1.5,75.0,0.0
2024-01-22,4.2,68.0,0.0
2024-02-05,6.8,72.0,3.2
2024-02-14,3.1,85.0,8.1
2024-02-28,9.5,60.0,0.0
2024-03-07,12.4,55.0,0.0
2024-03-15,15.0,50.0,1.5
2024-03-25,10.3,65.0,4.2
2024-04-02,17.2,48.0,0.0
2024-04-11,19.8,52.0,0.0
2024-04-20,14.5,70.0,6.3
2024-05-01,22.1,45.0,0.0
2024-05-12,24.6,40.0,0.0
2024-05-23,20.3,55.0,2.1
2024-06-03,26.8,38.0,0.0
2024-06-14,29.5,35.0,0.0
2024-06-22,31.2,30.0,0.0
2024-07-01,33.4,28.0,0.0
2024-07-08,35.1,25.0,0.0
2024-07-15,32.8,32.0,0.0
2024-07-19,28.5,40.0,0.0
2024-07-25,36.0,22.0,0.0
2024-07-30,30.2,35.0,1.0
2024-08-04,34.5,27.0,0.0
2024-08-11,31.8,30.0,0.0
2024-08-18,33.2,28.0,0.0
2024-08-27,29.9,38.0,3.5
2024-09-05,25.4,45.0,0.0
2024-09-14,22.1,52.0,2.8
2024-09-23,19.7,60.0,0.0
2024-10-03,15.2,65.0,4.1
2024-10-14,12.8,70.0,6.2
2024-10-25,10.5,75.0,9.3
2024-11-04,7.2,78.0,5.8
2024-11-15,4.8,82.0,7.1
2024-11-26,2.3,88.0,12.4
2024-12-05,0.5,85.0,3.3
2024-12-15,-1.2,80.0,0.0
2024-12-26,-3.8,78.0,8.5
